Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 write 256k 64 68334 266 239487.102319 4105728 60083
bench-node4 write 256k 128 64317 251 508840.203564 3864576 60086
bench-node4 write 128k 1 57511 449 2218.275652 3452928 60039
bench-node4 write 128k 2 57583 449 4437.798676 3461248 60108
bench-node4 write 128k 4 57282 447 8930.061634 3437056 60002
bench-node4 write 128k 8 62717 489 16318.452081 3763712 60011
bench-node4 write 128k 16 70803 553 28915.400223 4248832 60009
bench-node4 write 128k 32 61274 478 66830.926777 3677952 60024
bench-node4 write 128k 64 68002 531 120430.648196 4084096 60058
bench-node4 write 128k 128 65313 510 250723.963774 3925632 60104
bench-node4 write 64k 1 55470 866 1148.212504 3330048 60033
bench-node4 write 64k 2 53227 831 2398.116406 3194880 60023
bench-node4 write 64k 4 52132 814 4903.089517 3129344 60027
bench-node4 write 64k 8 50401 787 10150.178919 3034752 60211
bench-node4 write 64k 16 60164 940 17011.359121 3610240 60006
bench-node4 write 64k 32 60985 952 33570.203996 3670656 60189
bench-node4 write 64k 64 66264 1035 61781.097853 3979200 60050
bench-node4 write 64k 128 67120 1048 122001.185604 4030592 60050
bench-node4 write 32k 1 52738 1648 601.935017 3164384 60001
bench-node4 write 32k 2 50716 1584 1256.242521 3047328 60085
bench-node4 write 32k 4 54612 1706 2337.264135 3284864 60149
bench-node4 write 32k 8 56151 1754 4551.975300 3369728 60011
bench-node4 write 32k 16 57584 1799 8883.682375 3464512 60164
bench-node4 write 32k 32 60481 1890 16922.639386 3629184 60005
bench-node4 write 32k 64 69867 2183 29301.495186 4194048 60029
bench-node4 write 32k 128 65699 2053 62318.386372 3943552 60024
bench-node4 write 16k 1 46206 2887 341.557425 2772464 60001
bench-node4 write 16k 2 50236 3139 632.141276 3014576 60008
bench-node4 write 16k 4 52902 3306 1204.297622 3174224 60001
bench-node4 write 16k 8 55092 3443 2317.458405 3308064 60046
bench-node4 write 16k 16 57274 3579 4463.421592 3437488 60018
bench-node4 write 16k 32 60148 3759 8505.063636 3610048 60019
bench-node4 write 16k 64 66620 4163 15359.481539 3998480 60019
bench-node4 write 16k 128 67402 4212 30368.933294 4045920 60026
bench-node4 write 4k 1 18695 4673 209.546423 1121776 60001
bench-node4 write 4k 2 32794 8198 239.440892 1967720 60001
bench-node4 write 4k 4 45895 11473 344.277312 2754484 60017
bench-node4 write 4k 8 51959 12989 612.603819 3123312 60110
bench-node4 write 4k 16 59055 14763 1080.578573 3543460 60002
bench-node4 write 4k 32 58157 14539 2197.472932 3489676 60004
bench-node4 write 4k 64 60379 15094 4235.672549 3623260 60008
bench-node4 write 4k 128 67452 16863 7585.202469 4048076 60014
bench-node4 write 2k 1 10388 5194 188.109950 623340 60001
bench-node4 write 2k 2 17355 8677 225.965289 1041354 60001
bench-node4 write 2k 4 35322 17661 222.697290 2119394 60001
bench-node4 write 2k 8 46914 23457 338.462693 2816894 60043
bench-node4 write 2k 16 51737 25868 615.866592 3106230 60038
bench-node4 write 2k 32 53604 26802 1191.376711 3216432 60003
bench-node4 write 2k 64 56763 28381 2252.219731 3406126 60006
bench-node4 write 2k 128 53949 26974 4741.532064 3237680 60013
bench-node4 write 1k 1 5188 5188 188.405355 311327 60001
bench-node4 write 1k 2 8709 8709 225.200098 522604 60001
bench-node4 write 1k 4 17847 17847 220.367021 1070863 60001
bench-node4 write 1k 8 29791 29791 266.202954 1787533 60001
bench-node4 write 1k 16 32197 32197 494.543091 1931915 60002
bench-node4 write 1k 32 34272 34272 931.352934 2056477 60003
bench-node4 write 1k 64 35076 35076 1822.108963 2104777 60005
bench-node4 write 1k 128 36118 36118 3540.900645 2167634 60015
bench-node5 write 8192k 1 57612 7 142173.791469 3457024 60005
bench-node5 write 8192k 2 61363 7 266983.335556 3686400 60075
bench-node5 write 8192k 4 77487 9 422820.126761 4653056 60049
bench-node5 write 8192k 8 84906 10 770987.690705 5111808 60205
bench-node5 write 8192k 16 76491 9 1693444.698276 4751360 62116
bench-node5 write 8192k 32 76354 9 3401077.241259 4685824 61369
bench-node5 write 8192k 64 85687 10 5973080.989505 5464064 63767
bench-node5 write 8192k 128 77818 9 12756011.729483 5390336 69268
bench-node5 write 4096k 1 50985 12 80323.096386 3059712 60012
bench-node5 write 4096k 2 60950 14 134386.936170 3657728 60011
bench-node5 write 4096k 4 67674 16 242064.925478 4067328 60101
bench-node5 write 4096k 8 74478 18 439889.886964 4493312 60330
bench-node5 write 4096k 16 81282 19 805058.916043 4927488 60622
bench-node5 write 4096k 32 77164 18 1692748.522388 4665344 60460
bench-node5 write 4096k 64 80746 19 3214176.308264 4956160 61379
bench-node5 write 4096k 128 81280 19 6277362.022692 5234688 64403
