Hostname Pattern Block_size Threads Read_Bandwidth_KB/s Read_IOPS Read_latency_mean Read_Total_I/O_KB Read_runtime_ms Write_Bandwidth_KB/s Write_IOPS Write_latency_mean Write_Total_I/O_KB Write_runtime_ms
bench-node2 readwrite 2k 64 25524 12762 4190.750059 1532164 60028 25505 12752 789.227968 1531024 60028
bench-node2 readwrite 2k 128 23781 11890 9185.093431 1431302 60185 23785 11892 1399.460552 1431504 60185
bench-node2 readwrite 1k 1 1199 1199 690.744968 71944 60002 1194 1194 138.271168 71701 60002
bench-node2 readwrite 1k 2 5005 5005 273.770882 300317 60001 5017 5017 120.569975 301073 60001
bench-node2 readwrite 1k 4 4937 4937 647.833320 308640 62506 4954 4954 132.526973 309661 62506
bench-node2 readwrite 1k 8 10711 10711 507.124087 642736 60002 10744 10744 234.072893 644714 60002
bench-node2 readwrite 1k 16 9656 9656 1215.724610 579411 60002 9638 9638 436.986952 578315 60002
bench-node2 readwrite 1k 32 11765 11765 1742.546970 706061 60009 11767 11767 971.696475 706159 60009
bench-node2 readwrite 1k 64 11593 11593 4054.304962 695690 60007 11603 11603 1458.894365 696312 60007
bench-node2 readwrite 1k 128 11707 11707 8582.393615 708787 60539 11716 11716 2251.257234 709280 60539
bench-node3 readwrite 8192k 1 6103 0 1031886.489130 753664 123488 5041 0 375658.342105 622592 123488
bench-node3 readwrite 8192k 2 46655 5 159237.166181 2809856 60225 42983 5 208146.066456 2588672 60225
bench-node3 readwrite 8192k 4 59711 7 244863.055188 3710976 62148 52725 6 330920.237500 3276800 62148
bench-node3 readwrite 8192k 8 72602 8 333341.551402 4382720 60366 72602 8 567842.986916 4382720 60366
bench-node3 readwrite 8192k 16 72934 8 728064.705128 4472832 61327 72266 8 1046465.963031 4431872 61327
bench-node3 readwrite 8192k 32 78783 9 1452623.599321 4825088 61245 71292 8 2005959.782364 4366336 61245
bench-node3 readwrite 8192k 64 85552 10 2762590.901515 5406720 63198 74663 9 3504093.401042 4718592 63198
bench-node3 readwrite 8192k 128 106827 13 4137589.315287 5144576 48158 110909 13 4855444.250000 5341184 48158
bench-node3 readwrite 4096k 1 33209 8 53933.791411 2002944 60313 30560 7 75386.940000 1843200 60313
bench-node3 readwrite 4096k 2 39643 9 88237.092466 2392064 60340 41883 10 111750.291734 2527232 60340
bench-node3 readwrite 4096k 4 52278 12 103999.945525 3158016 60407 49905 12 218119.389946 3014656 60407
bench-node3 readwrite 4096k 8 54779 13 169068.734597 3457024 63108 55298 13 403354.941315 3489792 63108
bench-node3 readwrite 4096k 16 78590 19 238019.840966 4919296 62594 74729 18 592272.230298 4677632 62594
bench-node3 readwrite 4096k 32 80639 19 616214.770764 4931584 61156 77290 18 1024958.488735 4726784 61156
bench-node3 readwrite 4096k 64 82402 20 1299587.187196 5054464 61339 78328 19 1894140.939471 4804608 61339
bench-node3 readwrite 4096k 128 113782 27 1835622.620771 5206016 45754 115394 28 2442878.771916 5279744 45754
