Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 randread 128k 2 52877 413 4829.055672 3172864 60004
bench-node4 randread 128k 4 115522 902 4420.841523 6931584 60002
bench-node4 randread 128k 8 260677 2036 3832.075623 10485760 40225
bench-node4 randread 128k 16 598331 4674 3366.142017 10485760 17525
bench-node4 randread 128k 32 839666 6559 4776.058447 10485760 12488
bench-node4 randread 128k 64 852085 6656 9491.532861 10485760 12306
bench-node4 randread 128k 128 853889 6671 19042.549536 10485760 12280
bench-node4 randread 64k 1 13258 207 4814.686510 795584 60004
bench-node4 randread 64k 2 28133 439 4537.668790 1688064 60002
bench-node4 randread 64k 4 63426 991 4025.406256 3805760 60003
bench-node4 randread 64k 8 171580 2680 2976.158191 10295168 60002
bench-node4 randread 64k 16 370168 5783 2684.567932 10485760 28327
bench-node4 randread 64k 32 543810 8497 3646.021094 10485760 19282
bench-node4 randread 64k 64 559359 8739 7149.281421 10485760 18746
bench-node4 randread 64k 128 563447 8803 14372.625201 10485760 18610
bench-node4 randread 32k 1 6790 212 4700.212519 407456 60003
bench-node4 randread 32k 2 14744 460 4328.235207 884736 60003
bench-node4 randread 32k 4 32419 1013 3937.604902 1945280 60004
bench-node4 randread 32k 8 79171 2474 3225.371085 4750528 60003
bench-node4 randread 32k 16 184138 5754 2685.020901 10485760 56945
bench-node4 randread 32k 32 312765 9773 3136.230853 10485760 33526
bench-node4 randread 32k 64 328645 10270 6060.066568 10485760 31906
bench-node4 randread 32k 128 325999 10187 12391.265732 10485760 32165
bench-node4 randread 16k 1 3663 228 4355.703596 219808 60004
bench-node4 randread 16k 2 7258 453 4396.356293 435552 60003
bench-node4 randread 16k 4 14140 883 4514.810968 848448 60003
bench-node4 randread 16k 8 36972 2310 3453.092974 2218432 60003
bench-node4 randread 16k 16 99146 6196 2577.403557 5949184 60004
bench-node4 randread 16k 32 170867 10679 2978.316388 10252576 60003
bench-node4 randread 16k 64 179142 11196 5566.172731 10485760 58533
bench-node4 randread 16k 128 177800 11112 11348.844336 10485760 58975
bench-node4 randread 4k 1 940 235 4242.663405 56412 60005
bench-node4 randread 4k 2 1650 412 4834.070428 99052 60002
bench-node4 randread 4k 4 3382 845 4719.234716 202952 60005
bench-node4 randread 4k 8 9325 2331 3422.821490 559544 60004
bench-node4 randread 4k 16 24337 6084 2625.081006 1460340 60004
bench-node4 randread 4k 32 43036 10759 2970.306701 2582512 60008
bench-node4 randread 4k 64 48313 12078 5293.896086 2899216 60008
bench-node4 randread 4k 128 47672 11918 10732.605599 2860944 60013
bench-node4 randread 2k 1 443 221 4501.999549 26586 60005
bench-node4 randread 2k 2 709 354 5624.951191 42574 60003
bench-node4 randread 2k 4 1255 627 6358.463508 75360 60017
bench-node4 randread 2k 8 3790 1895 4211.396003 227468 60004
bench-node4 randread 2k 16 10127 5063 3153.860721 607716 60009
bench-node4 randread 2k 32 20542 10271 3111.713683 1232646 60004
bench-node4 randread 2k 64 22864 11432 5590.997285 1372626 60032
bench-node4 randread 2k 128 22453 11226 11393.559214 1347534 60015
bench-node4 randread 1k 1 232 232 4284.193613 13966 60003
bench-node4 randread 1k 2 403 403 4943.144196 24217 60002
bench-node4 randread 1k 4 748 748 5329.621732 44939 60005
bench-node4 randread 1k 8 2157 2157 3699.612300 129430 60003
